label_a,label_b,relation,direction,evidence,n_confusions,sites,marker_jaccard,display_similarity,units_match,kind_match,proposed_by,status,reviewer,notes
priLeavingPressure,secLeavingPressure,site_variant,both,confusion,6,0,0.5,0.667,True,True,draft_equivalences.py,draft,,
priPumpFault,secPumpFault,site_variant,both,confusion,6,0,0.667,0.667,False,True,draft_equivalences.py,draft,,
zoneCO2HiSp,zoneCOSp,parent,b_to_a,confusion,6,0,0.429,0.571,True,True,draft_equivalences.py,draft,,
zoneTemp,zoneTempAvg,parent,a_to_b,"cross_site,display_sim",0,2,0.5,0.8,True,True,draft_equivalences.py,draft,,
zoneTemp,zoneTempHiSp,parent,a_to_b,confusion,6,0,0.429,0.667,True,True,draft_equivalences.py,draft,,
coldDeckDischargeTempMaxSp,dischargeTempMaxSp,parent,b_to_a,"confusion,display_sim",5,0,0.625,0.833,True,True,draft_equivalences.py,draft,,
dehumidEnableSp,dehumidSp,parent,b_to_a,confusion,5,0,,0.8,,,draft_equivalences.py,draft,,
dischargeFlowCoolMaxSp,dischargeFlowHeatMaxSp,site_variant,both,"confusion,cross_site,display_sim",2,1,0.714,0.833,True,True,draft_equivalences.py,draft,,
dischargePressureLoSp,dischargePressureMinSp,site_variant,both,confusion,5,0,0.75,0.667,True,True,draft_equivalences.py,draft,,
dischargePressureSp,hotDeckDischargePressureSp,parent,a_to_b,"confusion,cross_site",2,1,0.75,0.75,True,True,draft_equivalences.py,draft,,
leavingTemp,priLeavingTemp,parent,a_to_b,"confusion,cross_site",2,1,,0.8,,,draft_equivalences.py,draft,,
twrBypassValve,twrBypassValveFb,parent,a_to_b,"confusion,cross_site,display_sim",2,1,0.75,0.75,True,True,draft_equivalences.py,draft,,
zoneCO2HiSp,zoneCO2Sp,parent,b_to_a,"confusion,display_sim",5,0,0.667,0.857,True,True,draft_equivalences.py,draft,,
buildingPressure,buildingPressureSp,parent,a_to_b,"cross_site,display_sim",1,1,0.5,0.8,True,True,draft_equivalences.py,draft,,
dischargeFlowMinSp,dischargePressureMinSp,site_variant,both,"cross_site,display_sim",1,1,0.625,0.8,False,True,draft_equivalences.py,draft,,
drainValve,twrDrainValve,parent,a_to_b,confusion,4,0,0.375,0.857,True,True,draft_equivalences.py,draft,,
